id,box_id,label,created_at,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23
554,e509cc4362e5b5c3,bad,1777131746,0.16363264471261346,7.0,0.5581395348836804,1.0,0.14285714285714285,0.015340560441795095,0.006818026863032658,3.0,2.2588235294116683,0.0441734499166522,1.773556687036499,0.0,-1.0,-0.05880047040375108,-0.031570538245220506,-0.07220158936853405,5.158730158730159,70.0,0.0,0.0,0.0,0.0,0.0,0.0
754,9f7b0b786a06b315,very_good,1777317622,0.10580204778156209,7.0,0.41196013289034067,4.0,0.5714285714285714,0.009385665529014887,0.0017064846416304587,3.0,1.9862700228833057,0.02819944202626281,0.5305298733476247,1.0,1.0,-0.09376065461985177,-0.021615893790169805,0.046393137583997275,91.66666666666667,26.0,0.0,0.0,0.0,0.0,0.0,0.0
557,ed68e1b82256ebfd,very_bad,1777131819,0.1215118816371567,8.0,0.4152046783625689,3.0,0.375,0.005990022334227373,0.007701457286874622,3.0,1.98007968127499,0.02576406023793263,1.828345786787009,0.0,1.0,0.032530904359145206,0.03760234383801336,0.09317070504141187,83.73015873015873,45.0,0.0,0.0,0.0,0.0,0.0,0.0
564,6c41e0330c103806,bad,1777132272,0.17329991929660976,9.0,1.0049261083743066,5.0,0.5555555555555556,0.0033980376332513242,0.0025485282249479244,3.0,2.3859649122807434,0.03061145753247866,2.1745700072696272,0.0,1.0,-0.0169966856462971,0.011621658845782841,0.041758865820110715,27.77777777777778,27.0,0.0,0.0,0.0,0.0,0.0,0.0
570,df933995e5ecbd99,good,1777134708,0.08620505707883969,9.0,0.47641509433957424,5.0,0.5555555555555556,0.0029873039581783632,0.006401365624651677,3.0,1.8678996036987643,0.018009172793758077,0.49838866046936586,1.0,1.0,0.09141236373576739,0.033579192109755435,0.09768379453207082,78.96825396825396,24.0,0.0,0.0,0.0,0.0,0.0,0.0
576,5df91df2199988cf,good,1777140696,0.13998190477817013,12.0,0.435013262599512,7.0,0.5833333333333334,0.0,0.0025606445995983622,3.0,3.175656984785946,0.014356612778305787,0.632335471608458,1.0,-1.0,-0.10056418210640891,-0.02409065332485741,-0.11553357328433093,4.761904761904762,26.0,0.0,0.0,0.0,0.0,0.0,0.0
579,03155e8f0124e56f,good,1777140882,0.08601051712758556,17.0,0.335548172757465,6.0,0.35294117647058826,0.0029805624747190605,0.013199633816602177,3.0,3.199095022624549,0.020471020784240946,0.6110715211194611,1.0,1.0,-0.000851498637607758,0.00846901257300659,-0.015835770085770313,16.26984126984127,30.0,0.0,0.0,0.0,0.0,0.0,0.0
580,c37968f56623661f,good,1777140890,0.18529379265795198,25.0,0.8616600790513625,11.0,0.44,0.0,0.004249857629759498,3.0,3.4760820045559173,0.033991618509341265,1.3724671052631578,0.0,-1.0,-0.09766454352441481,-0.003070620987601463,-0.029034701884326924,28.571428571428573,28.0,0.0,0.0,0.0,0.0,0.0,0.0
587,2af3ac59ac2b0c4f,very_good,1777140968,0.03225122002969021,7.0,0.28571428571419033,2.0,0.2857142857142857,0.002546148949711393,0.002546148949711393,3.0,1.3071253071249842,0.007987472506804014,1.0288556301712086,0.0,1.0,0.05009424510518674,0.013279153414929669,0.011903031749585414,28.96825396825397,44.0,0.0,0.0,0.0,0.0,0.0,0.0
588,a03aa67b8aa19fbb,very_good,1777140978,0.03990846526477318,9.0,0.37903225806452046,4.0,0.4444444444444444,0.00891572096340918,0.0004245581411174163,3.0,1.4886877828056049,0.008203242631407657,1.405191152026595,0.0,-1.0,-0.009339208544512576,-0.01188894788834709,-0.029455388741638618,7.936507936507937,30.0,0.0,0.0,0.0,0.0,0.0,0.0
